number,incident_state,active,made_sla,caller_id,opened_at,sys_updated_at,category,subcategory,impact,priority,assigned_to,knowledge,closed_code,resolved_by,resolved_at,closed_at
INC0000087,Active,TRUE,TRUE,Caller 2838,29-02-2016 07:10,29-02-2016 13:12,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 186,TRUE,code 6,Resolved by 71,03-03-2016 16:00,08-03-2016 17:00
INC0000088,Resolved,TRUE,TRUE,Caller 2838,29-02-2016 07:10,03-03-2016 16:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 78,TRUE,code 6,Resolved by 71,03-03-2016 16:00,08-03-2016 17:00
INC0000089,Closed,FALSE,TRUE,Caller 2838,29-02-2016 07:10,08-03-2016 17:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 78,TRUE,code 6,Resolved by 71,03-03-2016 16:00,08-03-2016 17:00
INC0000099,New,TRUE,TRUE,Caller 3796,29-02-2016 08:03,29-02-2016 08:18,Internal IT,application installation,2 - Medium,3 - Moderate,,TRUE,code 5,Resolved by 208,02-03-2016 14:37,07-03-2016 15:00
INC0000100,Resolved,TRUE,TRUE,Caller 3796,29-02-2016 08:03,02-03-2016 14:37,Internal IT,application installation,2 - Medium,3 - Moderate,,TRUE,code 5,Resolved by 208,02-03-2016 14:37,07-03-2016 15:00
INC0000101,Closed,FALSE,TRUE,Caller 3796,29-02-2016 08:03,07-03-2016 15:00,Internal IT,application installation,2 - Medium,3 - Moderate,,TRUE,code 5,Resolved by 208,02-03-2016 14:37,07-03-2016 15:00
INC0000102,New,TRUE,TRUE,Caller 442,29-02-2016 08:03,29-02-2016 08:05,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 236,TRUE,code 1,Resolved by 215,02-03-2016 11:11,07-03-2016 12:00
INC0000103,Active,TRUE,TRUE,Caller 442,29-02-2016 08:03,29-02-2016 08:16,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 17,TRUE,code 1,Resolved by 215,02-03-2016 11:11,07-03-2016 12:00
INC0000104,Resolved,TRUE,TRUE,Caller 442,29-02-2016 08:03,02-03-2016 11:11,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 236,TRUE,code 1,Resolved by 215,02-03-2016 11:11,07-03-2016 12:00
INC0000105,Closed,FALSE,TRUE,Caller 442,29-02-2016 08:03,07-03-2016 12:00,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 236,TRUE,code 1,Resolved by 215,02-03-2016 11:11,07-03-2016 12:00
INC0000110,New,TRUE,TRUE,Caller 3757,29-02-2016 08:11,29-02-2016 08:38,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 31,TRUE,code 11,Resolved by 30,08-03-2016 09:55,24-03-2016 18:40
INC0000111,Active,TRUE,TRUE,Caller 3757,29-02-2016 08:11,29-02-2016 13:18,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 31,TRUE,code 11,Resolved by 30,08-03-2016 09:55,24-03-2016 18:40
INC0000112,Awaiting User Info,TRUE,TRUE,Caller 3757,29-02-2016 08:11,29-02-2016 13:26,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 186,TRUE,code 11,Resolved by 30,08-03-2016 09:55,24-03-2016 18:40
INC0000113,Resolved,TRUE,TRUE,Caller 3757,29-02-2016 08:11,08-03-2016 09:55,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 31,TRUE,code 11,Resolved by 30,08-03-2016 09:55,24-03-2016 18:40
INC0000114,Closed,FALSE,FALSE,Caller 3757,29-02-2016 08:11,24-03-2016 18:40,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 31,TRUE,code 11,Resolved by 30,08-03-2016 09:55,24-03-2016 18:40
INC0000115,New,TRUE,TRUE,Caller 271,29-02-2016 08:12,29-02-2016 08:17,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 249,TRUE,code 5,Resolved by 227,01-03-2016 10:38,06-03-2016 11:00
INC0000116,Awaiting User Info,TRUE,TRUE,Caller 271,29-02-2016 08:12,01-03-2016 08:40,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 249,TRUE,code 5,Resolved by 227,01-03-2016 10:38,06-03-2016 11:00
INC0000119,Resolved,TRUE,TRUE,Caller 271,29-02-2016 08:12,01-03-2016 10:38,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 249,TRUE,code 5,Resolved by 227,01-03-2016 10:38,06-03-2016 11:00
INC0000121,Closed,FALSE,TRUE,Caller 271,29-02-2016 08:12,06-03-2016 11:00,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 249,TRUE,code 5,Resolved by 227,01-03-2016 10:38,06-03-2016 11:00
INC0000122,Active,TRUE,TRUE,Caller 2519,29-02-2016 08:22,29-02-2016 08:30,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 11,Resolved by 208,01-03-2016 15:37,06-03-2016 16:00
INC0000123,Resolved,TRUE,TRUE,Caller 2519,29-02-2016 08:22,01-03-2016 15:37,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 11,Resolved by 208,01-03-2016 15:37,06-03-2016 16:00
INC0000124,Closed,FALSE,TRUE,Caller 2519,29-02-2016 08:22,06-03-2016 16:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 11,Resolved by 208,01-03-2016 15:37,06-03-2016 16:00
INC0000140,Active,TRUE,TRUE,Caller 2471,29-02-2016 08:32,29-02-2016 11:19,Internal IT,Infrastructure support on application,2 - Medium,3 - Moderate,Resolver 180,TRUE,code 6,Resolved by 163,29-02-2016 11:20,05-03-2016 12:00
INC0000141,Resolved,TRUE,TRUE,Caller 2471,29-02-2016 08:32,29-02-2016 11:20,Internal IT,Infrastructure support on application,2 - Medium,3 - Moderate,Resolver 180,TRUE,code 6,Resolved by 163,29-02-2016 11:20,05-03-2016 12:00
INC0000146,Closed,FALSE,TRUE,Caller 2471,29-02-2016 08:32,05-03-2016 12:00,Internal IT,Infrastructure support on application,2 - Medium,3 - Moderate,Resolver 180,TRUE,code 6,Resolved by 163,29-02-2016 11:20,05-03-2016 12:00
INC0000164,New,TRUE,TRUE,Caller 917,29-02-2016 08:41,29-02-2016 08:47,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:44,07-03-2016 15:00
INC0000166,Resolved,TRUE,TRUE,Caller 917,29-02-2016 08:41,02-03-2016 14:44,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:44,07-03-2016 15:00
INC0000167,Closed,FALSE,TRUE,Caller 917,29-02-2016 08:41,07-03-2016 15:00,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:44,07-03-2016 15:00
INC0000172,New,TRUE,TRUE,Caller 950,29-02-2016 08:47,29-02-2016 08:56,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:46,07-03-2016 15:00
INC0000173,Resolved,TRUE,TRUE,Caller 950,29-02-2016 08:47,02-03-2016 14:46,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:46,07-03-2016 15:00
INC0000174,Closed,FALSE,TRUE,Caller 950,29-02-2016 08:47,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:46,07-03-2016 15:00
INC0000197,Active,TRUE,TRUE,Caller 1811,29-02-2016 08:55,29-02-2016 08:55,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 5,Resolved by 99,07-03-2016 08:45,12-03-2016 09:00
INC0000199,Resolved,TRUE,TRUE,Caller 1811,29-02-2016 08:55,07-03-2016 08:45,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 5,Resolved by 99,07-03-2016 08:45,12-03-2016 09:00
INC0000204,Closed,FALSE,FALSE,Caller 1811,29-02-2016 08:55,12-03-2016 09:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 5,Resolved by 99,07-03-2016 08:45,12-03-2016 09:00
INC0000221,New,TRUE,TRUE,Caller 4043,29-02-2016 09:02,29-02-2016 09:08,HR Services,Please change the manager details due to change in project,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:51,07-03-2016 15:00
INC0000223,Resolved,TRUE,TRUE,Caller 4043,29-02-2016 09:02,02-03-2016 14:51,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:51,07-03-2016 15:00
INC0000228,Closed,FALSE,TRUE,Caller 4043,29-02-2016 09:02,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:51,07-03-2016 15:00
INC0000237,Active,TRUE,TRUE,Caller 3082,29-02-2016 09:05,29-02-2016 09:11,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:53,07-03-2016 15:00
INC0000246,Resolved,TRUE,TRUE,Caller 3082,29-02-2016 09:05,02-03-2016 14:53,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:53,07-03-2016 15:00
INC0000250,Closed,FALSE,TRUE,Caller 3082,29-02-2016 09:05,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:53,07-03-2016 15:00
INC0000257,Active,TRUE,TRUE,Caller 1892,29-02-2016 09:05,29-02-2016 10:28,Internal IT,Infrastructure support on application,2 - Medium,4 - Low,Resolver 180,TRUE,code 6,Resolved by 163,29-02-2016 11:00,05-03-2016 12:00
INC0000259,Resolved,TRUE,TRUE,Caller 1892,29-02-2016 09:05,29-02-2016 11:00,Internal IT,Infrastructure support on application,2 - Medium,4 - Low,Resolver 180,TRUE,code 6,Resolved by 163,29-02-2016 11:00,05-03-2016 12:00
INC0000260,Closed,FALSE,TRUE,Caller 1892,29-02-2016 09:05,05-03-2016 12:00,Internal IT,Infrastructure support on application,2 - Medium,4 - Low,Resolver 180,TRUE,code 6,Resolved by 163,29-02-2016 11:00,05-03-2016 12:00
INC0000269,New,TRUE,TRUE,Caller 4375,29-02-2016 09:07,29-02-2016 09:10,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:54,07-03-2016 15:00
INC0000272,Resolved,TRUE,TRUE,Caller 4375,29-02-2016 09:07,02-03-2016 14:54,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:54,07-03-2016 15:00
INC0000273,Closed,FALSE,TRUE,Caller 4375,29-02-2016 09:07,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:54,07-03-2016 15:00
INC0000280,Resolved,TRUE,TRUE,Caller 5180,29-02-2016 09:08,01-03-2016 11:55,Application/DB Access,"Password expired, reset the password",1 - High,2 - High,Resolver 201,TRUE,code 6,Resolved by 183,01-03-2016 11:55,06-03-2016 12:00
INC0000282,Closed,FALSE,FALSE,Caller 5180,29-02-2016 09:08,06-03-2016 12:00,Application/DB Access,"Password expired, reset the password",1 - High,2 - High,Resolver 201,TRUE,code 6,Resolved by 183,01-03-2016 11:55,06-03-2016 12:00
INC0000286,Active,TRUE,TRUE,Caller 5540,29-02-2016 09:13,29-02-2016 09:19,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:55,07-03-2016 15:00
INC0000290,Resolved,TRUE,TRUE,Caller 5540,29-02-2016 09:13,02-03-2016 14:55,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:55,07-03-2016 15:00
INC0000292,Closed,FALSE,TRUE,Caller 5540,29-02-2016 09:13,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:55,07-03-2016 15:00
INC0000294,New,TRUE,TRUE,Caller 4325,29-02-2016 09:14,29-02-2016 09:19,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:56,07-03-2016 15:00
INC0000295,Resolved,TRUE,TRUE,Caller 4325,29-02-2016 09:14,02-03-2016 14:56,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:56,07-03-2016 15:00
INC0000297,Closed,FALSE,TRUE,Caller 4325,29-02-2016 09:14,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:56,07-03-2016 15:00
INC0000303,New,TRUE,TRUE,Caller 1658,29-02-2016 09:18,29-02-2016 09:19,Internal IT,customer support on issues provided,2 - Medium,3 - Moderate,Resolver 227,TRUE,code 6,Resolved by 206,02-03-2016 19:30,07-03-2016 20:00
INC0000304,Active,TRUE,TRUE,Caller 1658,29-02-2016 09:18,02-03-2016 19:28,Internal IT,customer support on issues provided,2 - Medium,3 - Moderate,Resolver 227,TRUE,code 6,Resolved by 206,02-03-2016 19:30,07-03-2016 20:00
INC0000305,Resolved,TRUE,TRUE,Caller 1658,29-02-2016 09:18,02-03-2016 19:30,Internal IT,customer support on issues provided,2 - Medium,3 - Moderate,Resolver 227,TRUE,code 6,Resolved by 206,02-03-2016 19:30,07-03-2016 20:00
INC0000306,Closed,FALSE,TRUE,Caller 1658,29-02-2016 09:18,07-03-2016 20:00,Internal IT,customer support on issues provided,2 - Medium,3 - Moderate,Resolver 227,TRUE,code 6,Resolved by 206,02-03-2016 19:30,07-03-2016 20:00
INC0000307,New,TRUE,TRUE,Caller 4554,29-02-2016 09:18,29-02-2016 09:18,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 174,03-03-2016 01:18,08-03-2016 02:00
INC0000310,Awaiting User Info,TRUE,TRUE,Caller 4554,29-02-2016 09:18,02-03-2016 01:13,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 174,03-03-2016 01:18,08-03-2016 02:00
INC0000315,Resolved,TRUE,TRUE,Caller 4554,29-02-2016 09:18,03-03-2016 01:18,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 174,03-03-2016 01:18,08-03-2016 02:00
INC0000317,Closed,FALSE,TRUE,Caller 4554,29-02-2016 09:18,08-03-2016 02:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 174,03-03-2016 01:18,08-03-2016 02:00
INC0000318,New,TRUE,TRUE,Caller 5494,29-02-2016 09:20,29-02-2016 09:31,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 08:50,06-03-2016 09:00
INC0000319,Resolved,TRUE,TRUE,Caller 5494,29-02-2016 09:20,01-03-2016 08:50,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 08:50,06-03-2016 09:00
INC0000323,Closed,FALSE,TRUE,Caller 5494,29-02-2016 09:20,06-03-2016 09:00,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 08:50,06-03-2016 09:00
INC0000330,New,TRUE,TRUE,Caller 3842,29-02-2016 09:22,29-02-2016 09:31,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 09:03,06-03-2016 10:00
INC0000332,Active,TRUE,TRUE,Caller 3842,29-02-2016 09:22,01-03-2016 09:02,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 09:03,06-03-2016 10:00
INC0000333,Resolved,TRUE,TRUE,Caller 3842,29-02-2016 09:22,01-03-2016 09:03,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 09:03,06-03-2016 10:00
INC0000336,Closed,FALSE,TRUE,Caller 3842,29-02-2016 09:22,06-03-2016 10:00,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 89,TRUE,code 9,Resolved by 81,01-03-2016 09:03,06-03-2016 10:00
INC0000337,Active,TRUE,TRUE,Caller 1932,29-02-2016 09:25,29-02-2016 09:28,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 16:31,05-03-2016 17:00
INC0000338,Resolved,TRUE,TRUE,Caller 1932,29-02-2016 09:25,29-02-2016 16:31,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 16:31,05-03-2016 17:00
INC0000339,Closed,FALSE,TRUE,Caller 1932,29-02-2016 09:25,05-03-2016 17:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 62,29-02-2016 16:31,05-03-2016 17:00
INC0000346,New,TRUE,TRUE,Caller 4428,29-02-2016 09:29,29-02-2016 09:38,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:56,07-03-2016 15:00
INC0000347,Resolved,TRUE,TRUE,Caller 4428,29-02-2016 09:29,02-03-2016 14:56,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:56,07-03-2016 15:00
INC0000348,Closed,FALSE,TRUE,Caller 4428,29-02-2016 09:29,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:56,07-03-2016 15:00
INC0000351,Active,TRUE,TRUE,Caller 4907,29-02-2016 09:30,29-02-2016 09:39,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 159,TRUE,code 7,Resolved by 143,29-02-2016 11:05,05-03-2016 12:00
INC0000352,Resolved,TRUE,TRUE,Caller 4907,29-02-2016 09:30,29-02-2016 11:05,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 159,TRUE,code 7,Resolved by 143,29-02-2016 11:05,05-03-2016 12:00
INC0000353,Closed,FALSE,TRUE,Caller 4907,29-02-2016 09:30,05-03-2016 12:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,Resolver 159,TRUE,code 7,Resolved by 143,29-02-2016 11:05,05-03-2016 12:00
INC0000355,New,TRUE,TRUE,Caller 154,29-02-2016 09:31,29-02-2016 09:35,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 170,TRUE,code 11,Resolved by 153,01-03-2016 08:32,06-03-2016 09:00
INC0000356,Active,TRUE,TRUE,Caller 154,29-02-2016 09:31,01-03-2016 08:27,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 170,TRUE,code 11,Resolved by 153,01-03-2016 08:32,06-03-2016 09:00
INC0000357,Resolved,TRUE,TRUE,Caller 154,29-02-2016 09:31,01-03-2016 08:32,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 170,TRUE,code 11,Resolved by 153,01-03-2016 08:32,06-03-2016 09:00
INC0000358,Closed,FALSE,TRUE,Caller 154,29-02-2016 09:31,06-03-2016 09:00,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 170,TRUE,code 11,Resolved by 153,01-03-2016 08:32,06-03-2016 09:00
INC0000359,New,TRUE,TRUE,Caller 3754,29-02-2016 09:31,29-02-2016 09:42,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:57,07-03-2016 15:00
INC0000361,Resolved,TRUE,TRUE,Caller 3754,29-02-2016 09:31,02-03-2016 14:57,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:57,07-03-2016 15:00
INC0000363,Closed,FALSE,TRUE,Caller 3754,29-02-2016 09:31,07-03-2016 15:00,Application/DB Access,Provide access on XYZ Database/application,2 - Medium,3 - Moderate,?,TRUE,code 7,Resolved by 208,02-03-2016 14:57,07-03-2016 15:00
INC0000393,New,TRUE,TRUE,Caller 3957,29-02-2016 09:42,29-02-2016 09:50,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 135,TRUE,code 6,Resolved by 121,03-03-2016 15:18,08-03-2016 16:00
INC0000395,Active,TRUE,TRUE,Caller 3957,29-02-2016 09:42,02-03-2016 16:36,Hardware,Request for new laptop/monitor setup,2 - Medium,3 - Moderate,Resolver 135,TRUE,code 6,Resolved by 121,03-03-2016 15:18,08-03-2016 16:00
